House_ID,Sale_Price,Story,Total_SF ,Ext_Walls,Finish_SF_Attic,Finish_SF_Basement,Num_Stall_Garage,Has_Lake_Front,Sim
213,128163,1 Story,1688,Other,0,400,2,No,0.39049
214,119863,1 Story,1688,Other,0,0,2,No,0.80159
215,152163,1 Story,1705,Other,0,400,2,No,0.22397
216,127663,1 Story,1724,Other,0,0,2,No,0.71856
217,155214,2 Story,2184,Other,0,0,2,No,0.55389
218,102708,1 Story,1008,Other,0,455,2,No,0.30454
219,103177,2 Story,1026,Other,0,988,1,No,0.7777
220,128625,2 Story,1026,Other,0,988,2,No,0.21041
221,97014,2 Story,1026,Other,0,988,1,No,0.55496
222,105336,1 Story,1026,Other,0,188,2,No,0.74907
223,91018,2 Story,1028,Other,0,520,1,No,0.61056
224,103916,1 Story,1032,Other,0,1000,2,No,0.05871
225,105463,2 Story,1039,Other,0,988,2,No,0.13156
226,82708,1 Story,1040,Other,0,0,1,No,0.98018
227,92499,1 Story,1045,Other,0,860,1,No,0.08895
228,114438,2 Story,1053,Other,0,814,2,No,0.33657
229,99662,2 Story,1062,Other,0,594,1,No,0.38851
230,98514,2 Story,1080,Other,0,1040,1,No,0.93532
231,61599,2 Story,1106,Other,0,304,1,No,0.49569
232,112708,2 Story,1114,Other,0,1036,2,No,0.75786
233,82708,1 Story,1128,Other,0,0,1,No,0.94051
234,95642,1 Story,1134,Other,0,0,1,No,0.14251
235,115333,2 Story,1140,Other,0,1080,2,No,0.16254
236,102836,1 Story,1143,Other,0,850,2,No,0.97623
237,101208,1 Story,1188,Other,0,528,2,No,0.81153
238,112026,2 Story,1188,Other,0,1000,2,No,0.54558
239,114809,2 Story,1188,Other,0,1144,2,No,0.92862
240,114971,2 Story,1215,Brick,0,1170,2,No,0.43321
241,95391,2 Story,1235,Other,0,520,1,No,0.56095
242,113192,2 Story,1238,Other,0,0,1.5,No,0.84511
243,103655,1 Story,1242,Other,0,738,2,No,0.53133
244,111040,2 Story,1258,Other,0,1188,2,No,0.05383
245,117257,2 Story,1296,Other,0,648,2,No,0.07427
246,92909,2 Story,1298,Brick,0,638,1.5,No,0.27782
247,104569,2 Story,1419,Other,0,0,1.5,No,0.43884
248,126081,1 Story,1500,Other,0,0,2,No,0.95889
249,109533,1 Story,1772,Other,0,0,2,No,0.09092
250,145351,1 Story,1808,Brick,0,1808,2,No,0.98068
251,134878,1 Story,1868,Other,0,600,2,No,0.51731
252,112463,1 Story,1887,Brick,0,0,2,No,0.75995
253,121814,1 Story,1910,Other,0,720,2,No,0.74549
254,118378,1 Story,1999,Brick,0,0,2,No,0.55092
255,147319,1 Story,2128,Other,0,0,2,No,0.83561
256,337232,1 Story,2306,Brick,0,1000,3,Yes,0.37704
257,393786,1 Story,2671,Brick,0,1500,3,Yes,0.06385
258,231659,1 Story,2794,Brick,0,1134,3,Yes,0.49992
259,202266,1 Story,2828,Other,0,1400,3,Yes,0.99104
260,216680,1 Story,2833,Brick,0,800,3,No,0.42419
261,350638,2 Story,2892,Other,0,776,3,No,0.92314
262,260979,2 Story,2934,Brick,0,1396,3,Yes,0.63632
263,432379,1 Story,2960,Brick,0,1500,3,Yes,0.6769
264,255326,2 Story,2961,Other,0,1360,3,Yes,0.3062
265,264938,1 Story,2986,Other,0,1450,3,Yes,0.07388
266,207406,1 Story,2986,Brick,0,1000,3,Yes,0.65117
267,279387,1 Story,2998,Other,0,936,3,Yes,0.1476
268,372827,1 Story,3021,Brick,0,2921,3,Yes,0.38889
269,217040,1 Story,3044,Brick,0,0,3,No,0.71218
270,153266,1 Story,3066,Brick,0,650,2,No,0.31508
271,263387,1 Story,3072,Brick,0,1179,3,Yes,0.03211
272,640826,1 Story,3132,Brick,0,1796,3,Yes,0.75793
273,352765,2 Story,3135,Brick,0,1570,3,Yes,0.06924
274,355052,2 Story,3145,Brick,0,1642,3,Yes,0.07719
275,281661,2 Story,3202,Brick,0,360,3,No,0.7086
276,327310,2 Story,3264,Brick,0,1636,3,Yes,0.19272
277,373643,1 Story,3326,Brick,0,1150,3,Yes,0.55356
278,366601,1 Story,3344,Brick,0,1060,3,Yes,0.19757
279,350061,1 Story,3352,Brick,0,1912,3,Yes,0.79194
280,470537,1 Story,3358,Brick,0,1895,3,Yes,0.62931
281,300935,1 Story,3378,Brick,0,1015,3,Yes,0.82316
282,315105,1 Story,3442,Other,0,1720,3,Yes,0.65041
283,370766,1 Story,3486,Brick,0,2400,3,Yes,0.41111
284,240052,1 Story,3503,Other,0,0,3,No,0.01607
285,133110,2 Story,3514,Brick,0,1209,3,Yes,0.00271
286,198722,1 Story,3521,Brick,0,952,3,Yes,0.58375
287,450412,1 Story,3635,Brick,0,1602,3,Yes,0.3165
288,329446,2 Story,3693,Brick,0,927,3,Yes,0.24377
289,287128,1 Story,3698,Brick,0,950,3,Yes,0.30899
290,269401,1 Story,3904,Brick,0,1635,3,Yes,0.20683
291,327184,1 Story,4068,Brick,0,700,3,No,0.69144
292,301501,1 Story,4102,Brick,0,945,3,Yes,0.9958
293,675710,1 Story,4687,Brick,0,2400,3,Yes,0.86694
294,463145,1 Story,5172,Brick,0,1929,3,Yes,0.15209
295,675830,1 Story,5372,Brick,0,1800,3,Yes,0.64669
296,51066,1 Story,664,Other,0,0,0,No,0.87398
297,48945,1 Story,684,Other,0,0,1,No,0.51673
298,52710,1 Story,699,Other,0,0,1,No,0.75902
299,11629,1 Story,840,Other,0,0,1,No,0.17438
300,7965,1 Story,856,Other,0,0,1,No,0.09568
301,33362,1 Story,868,Other,0,0,0,No,0.23173
302,43082,1 Story,875,Other,0,0,1,No,0.47146
303,45059,1 Story,886,Other,0,0,0,No,0.56346
304,45060,1 Story,934,Other,0,0,2,No,0.71731
305,77581,1 Story,940,Other,0,940,2,No,0.73496
306,104649,1 Story,948,Brick,0,170,1,No,0.70634
307,49949,1 Story,958,Other,0,0,2,No,0.55816
308,40080,1 Story,980,Other,0,0,0,No,0.38877
309,50148,1 Story,980,Other,0,0,0,No,0.81749
310,59805,1 Story,986,Other,0,0,2,No,0.46265
311,98070,1 Story,988,Other,0,388,2,No,0.90172
312,33404,1 Story,999,Other,0,0,1,No,0.29732
313,66470,1 Story,1007,Other,0,0,0,No,0.43956
314,37028,1 Story,1012,Other,0,0,0,No,0.06949
315,47404,1 Story,1017,Other,0,0,2,No,0.71321
316,55278,1 Story,1049,Other,0,0,1,No,0.40157
317,18222,1 Story,1077,Other,0,0,0.5,No,0.79268
318,69624,1 Story,1092,Brick,0,800,1,No,0.05643
319,75266,1 Story,1100,Other,0,0,2,No,0.87429
320,78177,1 Story,1106,Other,0,0,2,No,0.45475
321,102125,1 Story,1158,Other,0,400,2.5,No,0.22086
322,98197,1 Story,1165,Other,0,240,2,No,0.8325
323,48146,1 Story,1180,Other,0,0,1,No,0.57814
324,26545,1 Story,1194,Other,0,0,0,No,0.02142
325,72499,1 Story,1206,Other,0,0,1,No,0.671
326,89279,1 Story,1220,Other,0,820,2,No,0.33855
327,100086,1 Story,1232,Brick,0,600,1,No,0.90007
328,100086,1 Story,1232,Brick,0,600,1,No,0.35345
329,103008,1 Story,1343,Other,0,0,1,No,0.43433
330,33070,1 Story,1428,Other,0,0,1,No,0.20477
331,63183,2 Story,1440,Other,0,0,1,No,0.04544
332,63111,1 Story,1469,Other,0,0,2,No,0.65244
333,82462,1 Story,1498,Brick,0,0,1,No,0.42208
334,63862,1 Story,1564,Other,0,0,2,No,0.04561
335,60084,2 Story,1664,Other,0,0,0,No,0.14603
336,109279,1 Story,1686,Other,0,0,2,No,0.9565
337,120593,1 Story,1779,Other,0,0,0,No,0.12049
338,91808,1 Story,2064,Other,0,255,0,No,0.35874
339,98251,1 Story,2178,Other,0,0,0,No,0.7356
340,62359,1 Story,2192,Other,0,0,0,No,0.8508
341,154748,2 Story,2327,Other,0,0,1,No,0.16358
342,100531,2 Story,908,Other,0,460,2,No,0.8625
343,93907,2 Story,936,Other,0,308,1.5,No,0.99606
344,106821,2 Story,944,Other,0,550,2,No,0.41345
345,102049,2 Story,944,Other,0,480,2,No,0.84784
346,122280,2 Story,960,Other,0,960,2,No,0.33374
347,98309,2 Story,976,Other,0,520,2,No,0.5183
348,92175,1 Story,1008,Other,0,0,1,No,0.43614
349,115654,2 Story,1034,Other,0,525,1.5,No,0.04021
350,114531,2 Story,1048,Other,0,960,2,No,0.56116
351,92383,2 Story,1057,Other,0,527,1.5,No,0.15485
352,124063,2 Story,1096,Other,0,960,2,No,0.91797
353,106675,2 Story,1148,Other,0,500,1.5,No,0.2956
354,121462,2 Story,1160,Other,0,620,2,No,0.94692
355,111233,1 Story,1160,Other,0,544,2,No,0.05084
356,114534,1 Story,1161,Brick,0,700,2,No,0.08607
357,116799,2 Story,1168,Other,0,420,1.5,No,0.75172
358,107389,2 Story,1188,Other,0,420,1.5,No,0.39311
359,111754,2 Story,1266,Other,0,1144,2,No,0.5821
360,135570,1 Story,1272,Other,0,1272,2,No,0.91654
361,100154,1 Story,1304,Other,0,480,2,No,0.24156
362,105781,2 Story,1306,Other,0,0,1.5,No,0.84532
363,119212,1 Story,1400,Brick,0,520,2,No,0.94262
364,112155,2 Story,1411,Brick,0,0,1.5,No,0.83573
365,115040,1 Story,1431,Brick,0,0,2,No,0.17128
366,118682,1 Story,1454,Brick,0,0,2,No,0.17577
367,96649,1 Story,1494,Brick,0,600,2,No,0.63868
368,127585,1 Story,1498,Brick,0,504,2,No,0.03253
369,150490,1 Story,1580,Brick,0,0,2,No,0.9393
370,120263,1 Story,1646,Brick,0,0,2,No,0.06
371,149802,1 Story,1653,Brick,0,860,2,No,0.54506
372,141490,1 Story,1740,Brick,0,0,2,No,0.94323
373,96173,1 Story,1741,Brick,0,520,1,No,0.02221
374,145137,1 Story,1836,Brick,0,350,3,No,0.96163
375,139190,1 Story,1839,Brick,0,0,3,No,0.3532
376,148911,1 Story,1859,Brick,0,0,2,No,0.03962
377,148343,1 Story,1870,Brick,0,0,2,No,0.50086
378,146100,1 Story,1916,Brick,0,1000,3,Yes,0.64197
379,134420,2 Story,2052,Brick,0,0,2,No,0.45735
380,138634,2 Story,2270,Brick,0,0,2,No,0.52255
381,157212,1 Story,2516,Brick,0,390,2,No,0.07938
382,119638,2 Story,1340,Brick,0,1270,2,No,0.09849
383,166255,1 Story,1435,Brick,0,1075,2,No,0.2727
384,167272,1 Story,1522,Brick,0,818,2,No,0.91842
385,140255,1 Story,1524,Brick,0,0,2,No,0.07427
386,122001,1 Story,1701,Brick,0,459,2,No,0.03773
387,118378,2 Story,1704,Brick,0,353,2,No,0.52639
388,129133,1 Story,1734,Brick,0,494,2,No,0.1927
